UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,GLOBAL PRE PRINT LIMITED,04954332,gb,https://opencorporates.com/companies/gb/04954332
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,CHEAPFLIGHTS.COM LIMITED,03960826,gb,https://opencorporates.com/companies/gb/03960826
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,secretary,WHITE ROSE INTERNET LIMITED,03902850,gb,https://opencorporates.com/companies/gb/03902850
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,WHITE ROSE INTERNET LIMITED,03902850,gb,https://opencorporates.com/companies/gb/03902850
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,COAL POLAND LIMITED,04888321,gb,https://opencorporates.com/companies/gb/04888321
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,HANSON FAMILY HOLDINGS LIMITED,00837751,gb,https://opencorporates.com/companies/gb/00837751
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,PAN AFRICAN RESOURCES PLC,03937466,gb,https://opencorporates.com/companies/gb/03937466
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,45-47 GROSVENOR SQUARE FREEHOLD LIMITED,06213709,gb,https://opencorporates.com/companies/gb/06213709
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,CHUDLEIGH FARMING LIMITED,06392402,gb,https://opencorporates.com/companies/gb/06392402
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH,director,MOMONDO GROUP LIMITED,03914064,gb,https://opencorporates.com/companies/gb/03914064
UK Independence Party (UKIP),south-west,William Dartmouth,WILLIAM DARTMOUTH VISCOUNT LEWISHAM,director,WHITE ROSE INDIA LIMITED,06811996,gb,https://opencorporates.com/companies/gb/06811996
Liberal Democrats,south-west,Lyana Patricia Armstong-,"","","","","",""
Liberal Democrats,south-west,Jay Oliver Risbridger,JAY OLIVER RISBRIDGER,director,THE GREEN STATIONERY COMPANY LTD,02834890,gb,https://opencorporates.com/companies/gb/02834890
Liberal Democrats,south-west,Jay Oliver Risbridger,JAY OLIVER RISBRIDGER,director,GREEN BUSINESS COMPANY LIMITED,02237045,gb,https://opencorporates.com/companies/gb/02237045
